coupling,bayes_auc_target,prevalence,quantity,varies_with,grid_invariant,n_seeds_compared,n_ours_raised,n_reference_raised,mean_ours,mean_reference,sd_ours,sd_reference,mean_abs_diff,max_abs_diff,mean_diff,se_mean_diff,z_mean_diff,noise_floor,noise_floor_exceeded
0.0,0.65,0.05,realised_prevalence,label_layer,False,5,0,0,0.049714999999999995,0.050280000000000005,0.00026260712100017466,0.0006125459166462535,0.0008550000000000002,0.001355000000000002,-0.0005650000000000099,0.0002980520088843554,1.895642314624461,0.0008941560266530663,False
0.0,0.65,0.05,expected_bayes_auc,label_layer,False,5,0,0,0.6499999999999976,0.6499999999839202,7.573560323633688e-15,2.2055134439147452e-11,1.60892632550258e-11,4.179045998142783e-11,1.6077361664201817e-11,9.863356553300545e-12,1.6300091735831954,2.9590069659901634e-11,False
0.0,0.65,0.05,solved_gamma,label_layer,False,5,0,0,0.5430681411471813,0.5431706792364357,0.00010218811751635593,0.0003406244379864471,0.0002792108263921067,0.0004101517541701405,-0.00010253808925442254,0.00015903925245996318,0.6447344769822511,0.00047711775737988954,False
0.0,0.65,0.05,solved_alpha,label_layer,False,5,0,0,-3.0756669821953104,-3.075706620359422,3.078678127525215e-05,6.321593629286266e-05,5.265938739027476e-05,0.0001140093190423741,3.9638164111455154e-05,3.144544641970753e-05,1.2605374903061664,9.43363392591226e-05,False
0.0,0.65,0.05,corr_core_trap,features_only,True,5,0,0,-0.07087430134101273,-0.06894061338247769,0.0025267373171367876,0.0023926026765075997,0.003648410653336423,0.006079946988020654,-0.0019336879585350464,0.0015562100781991448,1.2425622900300974,0.004668630234597434,False
0.0,0.65,0.05,trap_variance_share,coupling_only,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False
0.0,0.65,0.05,R1_smoker_cigs__binding_rate,features_only,True,5,0,0,0.8005939999999999,0.799552,0.000673474201436098,0.0005919733946724212,0.0010419999999999874,0.0017499999999999183,0.0010419999999998764,0.00040099875311526347,2.5985118205601077,0.0012029962593457905,False
0.0,0.65,0.05,R2_glucose_floor__binding_rate,features_only,True,5,0,0,0.5678000000000001,0.5679460000000001,0.0006344781320108648,0.0009650479262710303,0.0005439999999999889,0.0009199999999999209,-0.00014599999999997948,0.0005165036301905364,0.28266984289368996,0.0015495108905716093,False
0.0,0.65,0.05,R3_glucose_ceil__binding_rate,features_only,True,5,0,0,0.029708999999999996,0.029668,0.00047062989705287466,0.0004937813281200497,7.100000000000093e-05,0.00018500000000000114,4.09999999999959e-05,0.00030506146921563187,0.13439914291835775,0.0009151844076468956,False
0.0,0.65,0.05,R4_bp_mandatory__binding_rate,features_only,True,5,0,0,0.21197300000000002,0.21221,0.0006232836432957365,0.001139051140203984,0.00047299999999999567,0.0010399999999999854,-0.00023699999999998722,0.0005806754687430843,0.40814536304244353,0.0017420264062292527,False
0.0,0.65,0.05,R5_anatomical__binding_rate,features_only,True,5,0,0,0.500192,0.499808,0.00040000937489015695,0.00040000937489012925,0.0006359999999999921,0.0014400000000000523,0.00038399999999999546,0.0002529881420146035,1.5178577025077697,0.0007589644260438106,False
0.0,0.65,0.05,R6_preg_age__binding_rate,features_only,True,5,0,0,0.010137000000000002,0.01026,0.00018518909255137026,0.00016431676725155007,0.00018899999999999993,0.0003049999999999997,-0.0001229999999999981,0.00011072036849649666,1.110906707322691,0.00033216110548948995,False
0.0,0.65,0.1,realised_prevalence,label_layer,False,5,0,0,0.09935,0.100638,0.0005133712107237798,0.0006942405923021211,0.0012879999999999975,0.002809999999999993,-0.0012880000000000114,0.00038613987103121056,3.335578883787181,0.0011584196130936318,True
0.0,0.65,0.1,expected_bayes_auc,label_layer,False,5,0,0,0.6499999999999968,0.6500000000000046,6.8045894329474554e-15,5.55666346546344e-15,7.815970093361103e-15,1.965094753586527e-14,-7.771561172376096e-15,3.928840699733099e-15,1.978079990085637,1.1786522099199298e-14,False
0.0,0.65,0.1,solved_gamma,label_layer,False,5,0,0,0.5449912175377679,0.5451140485976544,9.8449814733075e-05,0.0002715978601343139,0.00021916573895064406,0.0003895436019433207,-0.0001228310598865301,0.00012919579223064128,0.950735761326121,0.00038758737669192386,False
0.0,0.65,0.1,solved_alpha,label_layer,False,5,0,0,-2.313764149233604,-2.3138021954284334,2.8094858698030375e-05,6.09421071934221e-05,4.914885869391483e-05,0.00010432556274730942,3.8046194829277624e-05,3.0010869745599986e-05,1.2677471580061663,9.003260923679996e-05,False
0.0,0.65,0.1,corr_core_trap,features_only,True,5,0,0,-0.07087430134101273,-0.06894061338247769,0.0025267373171367876,0.0023926026765075997,0.003648410653336423,0.006079946988020654,-0.0019336879585350464,0.0015562100781991448,1.2425622900300974,0.004668630234597434,False
0.0,0.65,0.1,trap_variance_share,coupling_only,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False
0.0,0.65,0.1,R1_smoker_cigs__binding_rate,features_only,True,5,0,0,0.8005939999999999,0.799552,0.000673474201436098,0.0005919733946724212,0.0010419999999999874,0.0017499999999999183,0.0010419999999998764,0.00040099875311526347,2.5985118205601077,0.0012029962593457905,False
0.0,0.65,0.1,R2_glucose_floor__binding_rate,features_only,True,5,0,0,0.5678000000000001,0.5679460000000001,0.0006344781320108648,0.0009650479262710303,0.0005439999999999889,0.0009199999999999209,-0.00014599999999997948,0.0005165036301905364,0.28266984289368996,0.0015495108905716093,False
0.0,0.65,0.1,R3_glucose_ceil__binding_rate,features_only,True,5,0,0,0.029708999999999996,0.029668,0.00047062989705287466,0.0004937813281200497,7.100000000000093e-05,0.00018500000000000114,4.09999999999959e-05,0.00030506146921563187,0.13439914291835775,0.0009151844076468956,False
0.0,0.65,0.1,R4_bp_mandatory__binding_rate,features_only,True,5,0,0,0.21197300000000002,0.21221,0.0006232836432957365,0.001139051140203984,0.00047299999999999567,0.0010399999999999854,-0.00023699999999998722,0.0005806754687430843,0.40814536304244353,0.0017420264062292527,False
0.0,0.65,0.1,R5_anatomical__binding_rate,features_only,True,5,0,0,0.500192,0.499808,0.00040000937489015695,0.00040000937489012925,0.0006359999999999921,0.0014400000000000523,0.00038399999999999546,0.0002529881420146035,1.5178577025077697,0.0007589644260438106,False
0.0,0.65,0.1,R6_preg_age__binding_rate,features_only,True,5,0,0,0.010137000000000002,0.01026,0.00018518909255137026,0.00016431676725155007,0.00018899999999999993,0.0003049999999999997,-0.0001229999999999981,0.00011072036849649666,1.110906707322691,0.00033216110548948995,False
0.0,0.65,0.3,realised_prevalence,label_layer,False,5,0,0,0.299553,0.300681,0.0009355853782525741,0.0010450502380268535,0.0017400000000000083,0.0023500000000000187,-0.0011279999999999624,0.000627287812730328,1.7982176237256042,0.001881863438190984,False
0.0,0.65,0.3,expected_bayes_auc,label_layer,False,5,0,0,0.6499999999999968,0.6500000000000036,1.0351750678301029e-14,8.52760418946324e-15,1.3655743202889425e-14,3.164135620181696e-14,-6.772360450213455e-15,5.997979248344509e-15,1.1291070158474925,1.7993937745033528e-14,False
0.0,0.65,0.3,solved_gamma,label_layer,False,5,0,0,0.5502419004419247,0.5504007850282182,0.0001068327180637094,5.4503834781404995e-05,0.00015888458629353952,0.000241980690238619,-0.00015888458629353952,5.363561811848301e-05,2.9622961730870285,0.00016090685435544904,False
0.0,0.65,0.3,solved_alpha,label_layer,False,5,0,0,-0.9051520622733916,-0.9051783290924081,2.0008210780575352e-05,5.717657194882649e-05,4.3760698135009155e-05,7.52139046765743e-05,2.6266819016518284e-05,2.7090547718565103e-05,0.9695935013716124,8.127164315569532e-05,False
0.0,0.65,0.3,corr_core_trap,features_only,True,5,0,0,-0.07087430134101273,-0.06894061338247769,0.0025267373171367876,0.0023926026765075997,0.003648410653336423,0.006079946988020654,-0.0019336879585350464,0.0015562100781991448,1.2425622900300974,0.004668630234597434,False
0.0,0.65,0.3,trap_variance_share,coupling_only,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False
0.0,0.65,0.3,R1_smoker_cigs__binding_rate,features_only,True,5,0,0,0.8005939999999999,0.799552,0.000673474201436098,0.0005919733946724212,0.0010419999999999874,0.0017499999999999183,0.0010419999999998764,0.00040099875311526347,2.5985118205601077,0.0012029962593457905,False
0.0,0.65,0.3,R2_glucose_floor__binding_rate,features_only,True,5,0,0,0.5678000000000001,0.5679460000000001,0.0006344781320108648,0.0009650479262710303,0.0005439999999999889,0.0009199999999999209,-0.00014599999999997948,0.0005165036301905364,0.28266984289368996,0.0015495108905716093,False
