gen,ruleset,subset,mass,prev,mean_pstar,abs_res,bayes_floor,excess,AUC_pstar_y
REAL,R1-R6+R7,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
copula,R1-R6,ALL,1.0,0.10041666666666667,0.09754476179646333,0.1698681565685269,0.1368650946077578,0.0330030619607691,0.5941373849503861
copula,R1-R6,on-manifold,0.7349583333333334,0.09320256250354328,0.07788019577467041,0.1503139476915536,0.1151895629785461,0.035124384713007495,0.5880827646108995
copula,R1-R6,off-manifold,0.2650416666666667,0.12042131740292407,0.1520744395292735,0.2240918148582505,0.19697116321452804,0.02712065164372246,0.5829463550307179
copula,R1-R6+R7,ALL,1.0,0.10041666666666667,0.09754476179646333,0.1698681565685269,0.1368650946077578,0.0330030619607691,0.5941373849503861
copula,R1-R6+R7,on-manifold,0.644,0.09187370600414078,0.06935445919915315,0.1425801645645683,0.10465780754071079,0.0379223570238575,0.5868176499865536
copula,R1-R6+R7,off-manifold,0.356,0.11587078651685394,0.14854070245002451,0.21923182749703624,0.1951277150324159,0.024104112464620325,0.5845182029455263
REAL,R1-R6,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
copula,R1-R6,ALL,1.0,0.09808333333333333,0.09637998626989933,0.1679805188597967,0.13528431264895008,0.03269620621084662,0.5887635962966624
copula,R1-R6,on-manifold,0.731,0.09171226630186959,0.07533354912049704,0.14677719213775664,0.11237419969287261,0.034402992444884026,0.5897147029290646
copula,R1-R6,off-manifold,0.269,0.11539653035935564,0.1535730924268253,0.22559996805612126,0.19754190584929443,0.028058062206826828,0.5626123611680743
