coupling,bayes_auc_target,prevalence,n_nuisance,seed,outcome,exception_type,exception_message,solved_gamma,solved_alpha,realised_prevalence,expected_bayes_auc
0.0,0.65,0.3,20,0,ok,,,0.5497815864994299,-0.9051327634579956,0.297,0.6499999999999996
0.0,0.65,0.3,0,1,ok,,,0.5499216260757416,-0.9049496946088622,0.3018,0.650000000000001
0.0,0.65,0.3,20,1,ok,,,0.5499216260757416,-0.9049496946088622,0.2946,0.650000000000001
0.0,0.65,0.3,0,2,ok,,,0.5506240004937426,-0.9050600080980451,0.31,0.6499999999999994
0.0,0.65,0.3,20,2,ok,,,0.5506240004937426,-0.9050600080980451,0.2946,0.6499999999999994
0.0,0.65,0.3,0,3,ok,,,0.5510882661410125,-0.9053462109941085,0.2986,0.6500000000000007
0.0,0.65,0.3,20,3,ok,,,0.5510882661410125,-0.9053462109941085,0.303,0.6500000000000007
0.0,0.65,0.3,0,4,ok,,,0.5495381039314793,-0.9050051236002311,0.2884,0.6500000000000025
0.0,0.65,0.3,20,4,ok,,,0.5495381039314793,-0.9050051236002311,0.296,0.6500000000000025
0.0,0.65,0.3,0,5,ok,,,0.5506662866724809,-0.9050589123024343,0.2982,0.6499999999999978
0.0,0.65,0.3,20,5,ok,,,0.5506662866724809,-0.9050589123024343,0.3016,0.6499999999999978
0.0,0.65,0.3,0,6,ok,,,0.5508897398015454,-0.9055172262940842,0.2926,0.6500000000000012
0.0,0.65,0.3,20,6,ok,,,0.5508897398015454,-0.9055172262940842,0.297,0.6500000000000012
0.0,0.65,0.3,0,7,ok,,,0.5508066100306294,-0.9053344129216431,0.301,0.6500000000000007
0.0,0.65,0.3,20,7,ok,,,0.5508066100306294,-0.9053344129216431,0.2974,0.6500000000000007
0.0,0.85,0.05,0,0,ok,,,1.6303624768563314,-3.9851571360811517,0.0468,0.8499999999999994
0.0,0.85,0.05,20,0,ok,,,1.6303624768563314,-3.9851571360811517,0.0494,0.8499999999999994
0.0,0.85,0.05,0,1,ok,,,1.613795460779508,-3.9734548289195035,0.0498,0.850000000000001
0.0,0.85,0.05,20,1,ok,,,1.613795460779508,-3.9734548289195035,0.0512,0.850000000000001
0.0,0.85,0.05,0,2,ok,,,1.6146648331609168,-3.9732936663313247,0.0542,0.8500000000000009
0.0,0.85,0.05,20,2,ok,,,1.6146648331609168,-3.9732936663313247,0.0494,0.8500000000000009
0.0,0.85,0.05,0,3,ok,,,1.6290141621417416,-3.9822640462771837,0.0522,0.8499999999999984
0.0,0.85,0.05,20,3,ok,,,1.6290141621417416,-3.9822640462771837,0.0434,0.8499999999999984
0.0,0.85,0.05,0,4,ok,,,1.6243831331296321,-3.9814062524124427,0.0448,0.8499999999999971
0.0,0.85,0.05,20,4,ok,,,1.6243831331296321,-3.9814062524124427,0.0518,0.8499999999999971
0.0,0.85,0.05,0,5,ok,,,1.6178073636455972,-3.9756757896353023,0.048,0.849999999999994
0.0,0.85,0.05,20,5,ok,,,1.6178073636455972,-3.9756757896353023,0.0534,0.849999999999994
0.0,0.85,0.05,0,6,ok,,,1.6448352297829527,-3.9935655881515504,0.0556,0.8499999999999982
0.0,0.85,0.05,20,6,ok,,,1.6448352297829527,-3.9935655881515504,0.0502,0.8499999999999982
0.0,0.85,0.05,0,7,ok,,,1.6259948237323096,-3.9806716685525467,0.05,0.850000000000001
0.0,0.85,0.05,20,7,ok,,,1.6259948237323096,-3.9806716685525467,0.0478,0.850000000000001
0.0,0.85,0.1,0,0,ok,,,1.6715551716726356,-3.1288284106733197,0.0996,0.8500000000000006
0.0,0.85,0.1,20,0,ok,,,1.6715551716726356,-3.1288284106733197,0.1016,0.8500000000000006
0.0,0.85,0.1,0,1,ok,,,1.6593287917176254,-3.1189717349757506,0.1014,0.8500000000000015
0.0,0.85,0.1,20,1,ok,,,1.6593287917176254,-3.1189717349757506,0.101,0.8500000000000015
0.0,0.85,0.1,0,2,ok,,,1.6663016454799162,-3.121698677093045,0.1022,0.8499999999999981
0.0,0.85,0.1,20,2,ok,,,1.6663016454799162,-3.121698677093045,0.0982,0.8499999999999981
0.0,0.85,0.1,0,3,ok,,,1.6778157546542354,-3.1295348878796045,0.0996,0.8499999999999996
0.0,0.85,0.1,20,3,ok,,,1.6778157546542354,-3.1295348878796045,0.0952,0.8499999999999996
0.0,0.85,0.1,0,4,ok,,,1.6641461978971386,-3.1242332962742605,0.0994,0.8500000000000005
0.0,0.85,0.1,20,4,ok,,,1.6641461978971386,-3.1242332962742605,0.094,0.8500000000000005
0.0,0.85,0.1,0,5,ok,,,1.666010672827006,-3.1222233616196235,0.0976,0.8499999999999983
0.0,0.85,0.1,20,5,ok,,,1.666010672827006,-3.1222233616196235,0.1016,0.8499999999999983
0.0,0.85,0.1,0,6,ok,,,1.684996032185852,-3.1368066208679726,0.1008,0.8499999999999955
0.0,0.85,0.1,20,6,ok,,,1.684996032185852,-3.1368066208679726,0.1022,0.8499999999999955
0.0,0.85,0.1,0,7,ok,,,1.6686999995620215,-3.125017926744474,0.0992,0.8500000000000012
0.0,0.85,0.1,20,7,ok,,,1.6686999995620215,-3.125017926744474,0.1012,0.8500000000000012
0.0,0.85,0.3,0,0,ok,,,1.7324221281423187,-1.3098285246046222,0.2962,0.850000000000006
0.0,0.85,0.3,20,0,ok,,,1.7324221281423187,-1.3098285246046222,0.2956,0.850000000000006
0.0,0.85,0.3,0,1,ok,,,1.7335130061250947,-1.3046993706806709,0.3086,0.8499999999999993
0.0,0.85,0.3,20,1,ok,,,1.7335130061250947,-1.3046993706806709,0.296,0.8499999999999993
0.0,0.85,0.3,0,2,ok,,,1.7411558342032183,-1.308132582466504,0.3066,0.8499999999999988
0.0,0.85,0.3,20,2,ok,,,1.7411558342032183,-1.308132582466504,0.2932,0.8499999999999988
0.0,0.85,0.3,0,3,ok,,,1.7463764548243597,-1.313961342712185,0.3028,0.8500000000000025
0.0,0.85,0.3,20,3,ok,,,1.7463764548243597,-1.313961342712185,0.2974,0.8500000000000025
0.0,0.85,0.3,0,4,ok,,,1.7273421434829594,-1.305522632198947,0.2958,0.8499999999999991
0.0,0.85,0.3,20,4,ok,,,1.7273421434829594,-1.305522632198947,0.3002,0.8499999999999991
0.0,0.85,0.3,0,5,ok,,,1.7324548337962082,-1.304178496309196,0.302,0.8499999999999991
0.0,0.85,0.3,20,5,ok,,,1.7324548337962082,-1.304178496309196,0.3022,0.8499999999999991
0.0,0.85,0.3,0,6,ok,,,1.739635027632164,-1.3154209003847241,0.2968,0.8500000000000016
0.0,0.85,0.3,20,6,ok,,,1.739635027632164,-1.3154209003847241,0.303,0.8500000000000016
0.0,0.85,0.3,0,7,ok,,,1.740445788651615,-1.3101946885089564,0.3058,0.8500000000000011
0.0,0.85,0.3,20,7,ok,,,1.740445788651615,-1.3101946885089564,0.2982,0.8500000000000011
0.0,0.95,0.05,0,0,ok,,,3.2943489400533976,-6.157299829180681,0.0474,0.950000000000001
0.0,0.95,0.05,20,0,ok,,,3.2943489400533976,-6.157299829180681,0.047,0.950000000000001
0.0,0.95,0.05,0,1,ok,,,3.2315067333365164,-6.090159995415899,0.049,0.9500000000002641
0.0,0.95,0.05,20,1,ok,,,3.2315067333365164,-6.090159995415899,0.0506,0.9500000000002641
0.0,0.95,0.05,0,2,ok,,,3.2313341863806118,-6.071881304015789,0.0538,0.9500000000002494
0.0,0.95,0.05,20,2,ok,,,3.2313341863806118,-6.071881304015789,0.0526,0.9500000000002494
0.0,0.95,0.05,0,3,ok,,,3.273928685900931,-6.112513647550084,0.0492,0.9500000000000022
0.0,0.95,0.05,20,3,ok,,,3.273928685900931,-6.112513647550084,0.047,0.9500000000000022
0.0,0.95,0.05,0,4,ok,,,3.283545320152926,-6.155601012415839,0.0482,0.9499999999999992
0.0,0.95,0.05,20,4,ok,,,3.283545320152926,-6.155601012415839,0.05,0.9499999999999992
0.0,0.95,0.05,0,5,ok,,,3.3023584007818827,-6.157060334901504,0.0482,0.9500000000000045
0.0,0.95,0.05,20,5,ok,,,3.3023584007818827,-6.157060334901504,0.0516,0.9500000000000045
0.0,0.95,0.05,0,6,ok,,,3.3413398799475567,-6.196523907864758,0.054,0.9499999999999982
0.0,0.95,0.05,20,6,ok,,,3.3413398799475567,-6.196523907864758,0.0522,0.9499999999999982
0.0,0.95,0.05,0,7,ok,,,3.2419975478571055,-6.096830133918351,0.0532,0.9500000000001069
0.0,0.95,0.05,20,7,ok,,,3.2419975478571055,-6.096830133918351,0.0492,0.9500000000001069
0.0,0.95,0.1,0,0,ok,,,3.5246309517234775,-5.162222110958906,0.0938,0.9500000000002637
0.0,0.95,0.1,20,0,ok,,,3.5246309517234775,-5.162222110958906,0.1032,0.9500000000002637
0.0,0.95,0.1,0,1,ok,,,3.4778756047948702,-5.109660894685515,0.1,0.9500000000000112
0.0,0.95,0.1,20,1,ok,,,3.4778756047948702,-5.109660894685515,0.1008,0.9500000000000112
0.0,0.95,0.1,0,2,ok,,,3.517364927931979,-5.127928769101743,0.103,0.950000000000166
0.0,0.95,0.1,20,2,ok,,,3.517364927931979,-5.127928769101743,0.1006,0.950000000000166
0.0,0.95,0.1,0,3,ok,,,3.548034996015293,-5.158182286041355,0.0994,0.9499999999996938
0.0,0.95,0.1,20,3,ok,,,3.548034996015293,-5.158182286041355,0.095,0.9499999999996938
0.0,0.95,0.1,0,4,ok,,,3.5013268456746673,-5.148743123036259,0.0948,0.9500000000000672
0.0,0.95,0.1,20,4,ok,,,3.5013268456746673,-5.148743123036259,0.098,0.9500000000000672
0.0,0.95,0.1,0,5,ok,,,3.5594468245211277,-5.192673299497828,0.0958,0.9500000000000013
0.0,0.95,0.1,20,5,ok,,,3.5594468245211277,-5.192673299497828,0.0982,0.9500000000000013
0.0,0.95,0.1,0,6,ok,,,3.5777790571774144,-5.208415120931532,0.103,0.9500000000000008
0.0,0.95,0.1,20,6,ok,,,3.5777790571774144,-5.208415120931532,0.101,0.9500000000000008
0.0,0.95,0.1,0,7,ok,,,3.486006089664929,-5.11122722053942,0.0974,0.9500000000000237
0.0,0.95,0.1,20,7,ok,,,3.486006089664929,-5.11122722053942,0.098,0.9500000000000237
0.0,0.95,0.3,0,0,ok,,,3.7115054792617075,-2.32540718241975,0.2966,0.9500000000000011
0.0,0.95,0.3,20,0,ok,,,3.7115054792617075,-2.32540718241975,0.3016,0.9500000000000011
0.0,0.95,0.3,0,1,ok,,,3.6931234974124867,-2.2899228260139215,0.303,0.950000000000002
0.0,0.95,0.3,20,1,ok,,,3.6931234974124867,-2.2899228260139215,0.2972,0.950000000000002
0.0,0.95,0.3,0,2,ok,,,3.73697346960247,-2.323990980462609,0.3032,0.9500000000000027
0.0,0.95,0.3,20,2,ok,,,3.73697346960247,-2.323990980462609,0.2952,0.9500000000000027
0.0,0.95,0.3,0,3,ok,,,3.7632751424407687,-2.3458533654180584,0.301,0.9500000000000004
0.0,0.95,0.3,20,3,ok,,,3.7632751424407687,-2.3458533654180584,0.3022,0.9500000000000004
0.0,0.95,0.3,0,4,ok,,,3.662626343126152,-2.288174578196114,0.2984,0.9499999999999973
0.0,0.95,0.3,20,4,ok,,,3.662626343126152,-2.288174578196114,0.298,0.9499999999999973
0.0,0.95,0.3,0,5,ok,,,3.647018975043704,-2.2736230812570986,0.3076,0.9499999999999972
0.0,0.95,0.3,20,5,ok,,,3.647018975043704,-2.2736230812570986,0.302,0.9499999999999972
0.0,0.95,0.3,0,6,ok,,,3.7176081521133466,-2.3380776127333,0.2972,0.950000000000002
0.0,0.95,0.3,20,6,ok,,,3.7176081521133466,-2.3380776127333,0.299,0.950000000000002
0.0,0.95,0.3,0,7,ok,,,3.7227386402643496,-2.3145149042863546,0.3058,0.9499999999999986
0.0,0.95,0.3,20,7,ok,,,3.7227386402643496,-2.3145149042863546,0.2936,0.9499999999999986
0.5,0.65,0.05,0,0,ok,,,0.5108897637655276,-3.07207579487506,0.0454,0.6500000000029283
0.5,0.65,0.05,20,0,ok,,,0.5108897637655276,-3.07207579487506,0.047,0.6500000000029283
0.5,0.65,0.05,0,1,ok,,,0.5098294159395259,-3.0719068132058145,0.0528,0.6500000000018461
0.5,0.65,0.05,20,1,ok,,,0.5098294159395259,-3.0719068132058145,0.0438,0.6500000000018461
0.5,0.65,0.05,0,2,ok,,,0.508579293675906,-3.0719746421929104,0.0548,0.6500000000011552
0.5,0.65,0.05,20,2,ok,,,0.508579293675906,-3.0719746421929104,0.0506,0.6500000000011552
0.5,0.65,0.05,0,3,ok,,,0.5092258161371372,-3.072270914825557,0.0506,0.6500000000007781
0.5,0.65,0.05,20,3,ok,,,0.5092258161371372,-3.072270914825557,0.0434,0.6500000000007781
0.5,0.65,0.05,0,4,ok,,,0.5098091953307564,-3.072458757456327,0.0464,0.6500000000012734
0.5,0.65,0.05,20,4,ok,,,0.5098091953307564,-3.072458757456327,0.0486,0.6500000000012734
0.5,0.65,0.05,0,5,ok,,,0.5104326083368251,-3.0721376894886863,0.0482,0.6500000000025011
0.5,0.65,0.05,20,5,ok,,,0.5104326083368251,-3.0721376894886863,0.047,0.6500000000025011
0.5,0.65,0.05,0,6,ok,,,0.5123760210799339,-3.071968765600876,0.0528,0.650000000003979
0.5,0.65,0.05,20,6,ok,,,0.5123760210799339,-3.071968765600876,0.0476,0.650000000003979
0.5,0.65,0.05,0,7,ok,,,0.5105541751319246,-3.0726537416714494,0.0472,0.6500000000010888
0.5,0.65,0.05,20,7,ok,,,0.5105541751319246,-3.0726537416714494,0.0512,0.6500000000010888
0.5,0.65,0.1,0,0,ok,,,0.5201797602848532,-2.309746450528908,0.0918,0.6500000000000007
0.5,0.65,0.1,20,0,ok,,,0.5201797602848532,-2.309746450528908,0.0962,0.6500000000000007
0.5,0.65,0.1,0,1,ok,,,0.5191362511099691,-2.3096020801739314,0.1044,0.6500000000000006
0.5,0.65,0.1,20,1,ok,,,0.5191362511099691,-2.3096020801739314,0.1024,0.6500000000000006
0.5,0.65,0.1,0,2,ok,,,0.5183911559595723,-2.309567578078426,0.1054,0.6500000000000012
0.5,0.65,0.1,20,2,ok,,,0.5183911559595723,-2.309567578078426,0.0956,0.6500000000000012
0.5,0.65,0.1,0,3,ok,,,0.5191460601116186,-2.3098551292213054,0.1064,0.650000000000001
0.5,0.65,0.1,20,3,ok,,,0.5191460601116186,-2.3098551292213054,0.0932,0.650000000000001
0.5,0.65,0.1,0,4,ok,,,0.5199344808950705,-2.3099600771233137,0.0906,0.6499999999999991
0.5,0.65,0.1,20,4,ok,,,0.5199344808950705,-2.3099600771233137,0.0968,0.6499999999999991
0.5,0.65,0.1,0,5,ok,,,0.5199418752004322,-2.309761070399545,0.0984,0.6499999999999996
0.5,0.65,0.1,20,5,ok,,,0.5199418752004322,-2.309761070399545,0.1048,0.6499999999999996
0.5,0.65,0.1,0,6,ok,,,0.5209855767422983,-2.3097829143846877,0.1022,0.6499999999999999
0.5,0.65,0.1,20,6,ok,,,0.5209855767422983,-2.3097829143846877,0.0942,0.6499999999999999
0.5,0.65,0.1,0,7,ok,,,0.5206586366553619,-2.310164694921156,0.1012,0.6500000000000004
0.5,0.65,0.1,20,7,ok,,,0.5206586366553619,-2.310164694921156,0.1008,0.6500000000000004
0.5,0.65,0.3,0,0,ok,,,0.5527471465110786,-0.8989161352034515,0.2968,0.6499999999999994
0.5,0.65,0.3,20,0,ok,,,0.5527471465110786,-0.8989161352034515,0.2988,0.6499999999999994
0.5,0.65,0.3,0,1,ok,,,0.5524956792360586,-0.8987050295294071,0.3,0.6500000000000007
0.5,0.65,0.3,20,1,ok,,,0.5524956792360586,-0.8987050295294071,0.2996,0.6500000000000007
0.5,0.65,0.3,0,2,ok,,,0.5532624469934385,-0.8983562181067047,0.302,0.6499999999999978
0.5,0.65,0.3,20,2,ok,,,0.5532624469934385,-0.8983562181067047,0.2942,0.6499999999999978
0.5,0.65,0.3,0,3,ok,,,0.5545705163690458,-0.8985186982370482,0.2952,0.6499999999999996
