arm,dgp_seed,gen_seed,n,on_manifold_row_share,n_on_manifold,n_off_manifold,frac_density_zero_ruleclean,frac_density_zero_violating,density_zero_violating_exact,n_cigs_in_tol_band,mean_pstar,prev,R1_smoker_cigs__violation_rate,R2_glucose_floor__violation_rate,R3_glucose_ceil__violation_rate,R4_bp_mandatory__violation_rate,R5_anatomical__violation_rate,R6_preg_age__violation_rate,R7_smoker_cigs_min__violation_rate,excess_all,se_all,mass_all,excess_on_manifold,se_on_manifold,mass_on_manifold,excess_off_manifold,se_off_manifold,mass_off_manifold,excess_mass_on_manifold,excess_mass_off_manifold,on_manifold_excess_share
real,0,,16000,1.0,16000,0,0.0,,True,0,0.09956395268381822,0.098625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017240033750699768,0.00137345962648372,1.0,-0.0017240033750699768,0.00137345962648372,1.0,,,0.0,-0.0017240033750699768,,
copula_dt,0,0.0,24000,0.64075,15378,8622,0.0,1.0,True,0,0.0987222715226724,0.09770833333333333,0.11658333333333333,0.030708333333333334,0.051125,0.09041666666666667,0.004666666666666667,0.004958333333333334,0.112875,0.0331371648308417,0.001132273510688926,1.0,0.03740431762103007,0.0013182830863420207,0.64075,0.02552636970122954,0.0020988655198893877,0.35925,0.02396681651567502,0.009170348315166712,0.7232609258523046
copula_dt,0,1.0,24000,0.6366666666666667,15280,8720,0.0,1.0,True,0,0.09871130512458888,0.09541666666666666,0.11625,0.032375,0.050666666666666665,0.09058333333333334,0.004375,0.005,0.11670833333333333,0.029500885604511584,0.0011361214290862103,1.0,0.033881037952935844,0.001325876120794042,0.6366666666666667,0.021825572773786522,0.002092825022960281,0.36333333333333334,0.02157092749670249,0.007929958107809103,0.7311959303826334
copula_dt,0,2.0,24000,0.644,15456,8544,0.0,1.0,True,0,0.09754476179646333,0.10041666666666667,0.11475,0.032,0.052458333333333336,0.091375,0.00425,0.004916666666666666,0.11141666666666666,0.0330030619607691,0.0011336928104124081,1.0,0.0379223570238575,0.0013129500252171068,0.644,0.024104112464620325,0.002121338583428157,0.356,0.024421997923364233,0.008581064037404836,0.7399918817349374
copula_dt,0,3.0,24000,0.6407916666666666,15379,8621,0.0,1.0,True,0,0.09637998626989933,0.09808333333333333,0.11479166666666667,0.03229166666666667,0.05466666666666667,0.0915,0.004833333333333334,0.004083333333333333,0.11158333333333334,0.03269620621084662,0.0011339501615832536,1.0,0.03685709015823313,0.0013119248226734542,0.6407916666666666,0.02527360625412961,0.002118538751424379,0.35920833333333335,0.023617716230977803,0.009078489979868808,0.7223381232267517
copula_dt,0,4.0,24000,0.6343333333333333,15224,8776,0.0,1.0,True,0,0.09926100763094206,0.09641666666666666,0.11620833333333333,0.03275,0.049666666666666665,0.09233333333333334,0.004583333333333333,0.005,0.11983333333333333,0.03133363295868158,0.0011362841512554817,1.0,0.03446740149160085,0.0013253669439838303,0.6343333333333333,0.02589738727213156,0.0020904583905313637,0.36566666666666664,0.02186382167950547,0.009469811279176107,0.6977748704829864
real,1,,16000,1.0,16000,0,0.0,,True,0,0.10224568841743861,0.1019375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044055094991402033,0.0013714332262144003,1.0,0.00044055094991402033,0.0013714332262144003,1.0,,,0.0,0.00044055094991402033,,
copula_dt,1,0.0,24000,0.6419583333333333,15407,8593,0.0,1.0,True,0,0.09853568816458702,0.10166666666666667,0.11354166666666667,0.03170833333333333,0.051708333333333335,0.09166666666666666,0.0055,0.004208333333333333,0.11191666666666666,0.03634117396536565,0.0011318325517230834,1.0,0.04088892085349194,0.0013133976524002694,0.6419583333333333,0.028187195575354984,0.002108922078222613,0.35804166666666665,0.02624898348290626,0.010092190482459391,0.7222932178229139
copula_dt,1,1.0,24000,0.6435833333333333,15446,8554,0.0,1.0,True,0,0.0991674007655546,0.09866666666666667,0.11466666666666667,0.03191666666666667,0.0475,0.090625,0.005583333333333333,0.005291666666666667,0.11358333333333333,0.0325461891431518,0.0011360034250524227,1.0,0.035846444240419065,0.0013151922045633745,0.6435833333333333,0.02658690223265492,0.0021257733093701723,0.35641666666666666,0.02307017407239637,0.009476015070755423,0.7088440975662025
copula_dt,1,2.0,24000,0.6455,15492,8508,0.0,1.0,True,0,0.09805296480312584,0.10358333333333333,0.11304166666666667,0.03225,0.051333333333333335,0.09216666666666666,0.0045,0.005291666666666667,0.11075,0.03595263351428363,0.0011331423876679242,1.0,0.04072161521891829,0.0013097706183816582,0.6455,0.027268916475238075,0.0021282450886105455,0.3545,0.026285802623811753,0.009666830890471897,0.7311231488332738
