seed,arm,LogReg,MLP,LGBM
0,BASE,0.8096087896905352,0.7727730142053943,0.6907576444457237
0,OFF_harmful,0.6361541180429341,0.7389215674180559,0.6651420779295542
0,OFF_creative,0.8388295027152534,0.7950595340893827,0.7325733690661227
0,OFF_random,0.8183185286232391,0.769006945072658,0.6862939155571273
0,ON_harmful,0.4594170446228114,0.4341076894029732,0.4846454031212394
0,ON_creative,0.8377797577928182,0.8093232237774506,0.7380128064768593
0,ON_random,0.8088522349098525,0.7732651624491832,0.6652072265351942
1,BASE,0.8348449437486122,0.8036112630245811,0.7249741118887253
1,OFF_harmful,0.7039874373271271,0.7677733191745411,0.6849861033441066
1,OFF_creative,0.8425400177773027,0.806157198573978,0.7396349039587051
1,OFF_random,0.8311605138284661,0.804160378819653,0.7143730074206875
1,ON_harmful,0.6026235313508284,0.5107605707788843,0.5177710918717842
1,ON_creative,0.8419557362983187,0.8050829104884715,0.7425968739634475
1,ON_random,0.834613646923855,0.7730101791162611,0.6907056026601534
2,BASE,0.8369571977515893,0.7983349112916712,0.7064328872559904
2,OFF_harmful,0.669606235145604,0.7405534950149537,0.6710477069404124
2,OFF_creative,0.8443325253364256,0.7930901701248112,0.7274027713814211
2,OFF_random,0.828490534648607,0.7734903341913589,0.6931557213582571
2,ON_harmful,0.43299018307743337,0.5148511836229512,0.46939544663930854
2,ON_creative,0.841234175870567,0.8104535799265882,0.7350555694904755
2,ON_random,0.8339500392005285,0.7807735285410001,0.6815617110208312
3,BASE,0.8265606624752255,0.8054932910214343,0.6813122102793107
3,OFF_harmful,0.6416390224128337,0.7523521602095447,0.6453849173225216
3,OFF_creative,0.8384320148386336,0.8012490799526304,0.7268679403069155
3,OFF_random,0.8242310751224673,0.7893852661523996,0.684531647916204
3,ON_harmful,0.4604556958642072,0.4623273583366914,0.47324047793805213
3,ON_creative,0.8392596291438111,0.8177648297244176,0.7286088344079213
3,ON_random,0.8258301928364461,0.7906935923583641,0.6506218415133598
4,BASE,0.8294589830204145,0.7931582741898786,0.704446368776916
4,OFF_harmful,0.6663040018119964,0.7630901581316425,0.6721682758072431
4,OFF_creative,0.842806480285972,0.7996407531984068,0.7385506786762832
4,OFF_random,0.8329787210347843,0.7991345129814058,0.7033239581020365
4,ON_harmful,0.44430136879747584,0.4504764371928036,0.4857517729329945
4,ON_creative,0.8397655266988495,0.8071681798618934,0.7388382363120253
4,ON_random,0.8209461462179715,0.781640291975405,0.6777617826029151
