gen,subset,mass,prev,mean_pstar,abs_res,bayes_floor,excess,AUC_pstar_y
ARF,ALL,1.0,0.099,0.09920722847366802,0.14101729448800487,0.13683722759978906,0.0041800668882158165,0.8244527529581174
ARF,on-manifold,0.8514166666666667,0.09278653225017128,0.09561330500486684,0.13613402969327193,0.1337625956602015,0.002371434033070441,0.8267247159785375
ARF,off-manifold,0.14858333333333335,0.1346045989904655,0.11980123637088716,0.16899952466623622,0.15445557562377463,0.01454394904246159,0.8097402246705552
ARF,ALL,1.0,0.105,0.09759386122903266,0.1404424406382879,0.13490791035624217,0.00553453028204573,0.8405460228784251
ARF,on-manifold,0.8556666666666667,0.09466303077522399,0.09153405517067549,0.13112213865240177,0.12876066916028348,0.0023614694921182955,0.8439007352159962
ARF,off-manifold,0.14433333333333334,0.16628175519630484,0.13351885465121022,0.1956969792012663,0.17135125481357677,0.024345724387689532,0.8108023622653122
ARF,ALL,1.0,0.10241666666666667,0.09968256421201481,0.14059550306357305,0.1362175794768344,0.004377923586738636,0.8446465847668745
ARF,on-manifold,0.8473333333333334,0.09284028324154209,0.09548380809197267,0.13415241343068668,0.1323644847327483,0.001787928697938368,0.8435190485028004
ARF,off-manifold,0.15266666666666667,0.15556768558951964,0.12298657743722678,0.17635605731422177,0.15760309659357435,0.018752960720647416,0.8429716826001656
