seed,arm,rate,LogReg,MLP,LGBM
0,BASE,0.0,0.8096087896905352,0.7727730142053943,0.6907576444457237
0,clean,0.05,0.8109019531046543,0.7869721121135116,0.6943134904644029
0,balance,0.05,0.8092344314963911,0.761319281108909,0.6970921363191527
0,random,0.05,0.8192315514225954,0.7576763989517286,0.6782535881847415
0,creative,0.05,0.8319407551173138,0.7653241856295797,0.6944619059269554
0,harmful_rank,0.05,0.7856514929096386,0.7637385173976332,0.6661581991469088
0,creative_ON,0.05,0.8157579014421956,0.7845506485220305,0.6942404392172503
0,harmful_ON,0.05,0.7925215225978711,0.7450858419615616,0.6549655316331818
0,clean,0.2,0.8158395406547858,0.7870657016620476,0.6914452170900597
0,balance,0.2,0.8040233568673568,0.7555400301131331,0.657146853437996
0,random,0.2,0.8168992656068818,0.7708113173022361,0.6886413855810587
0,creative,0.2,0.8402576749426384,0.7954721847578476,0.729849077965191
0,harmful_rank,0.2,0.6398212435339687,0.7316319909893609,0.6507261820809724
0,creative_ON,0.2,0.8335759380028565,0.8220654515188149,0.7500475871800565
0,harmful_ON,0.2,0.6176649351957697,0.6820570717205194,0.5897076382435421
1,BASE,0.0,0.8348449437486122,0.8036112630245811,0.7249741118887253
1,clean,0.05,0.8343185721413083,0.8072202644802092,0.7263368356812532
1,balance,0.05,0.8356608218815705,0.7993858126982298,0.7190250933068525
1,random,0.05,0.8313822161182705,0.7941326334805409,0.7271893143950919
1,creative,0.05,0.8394705375817934,0.7981971183499593,0.7347842454652117
1,harmful_rank,0.05,0.8048578244117865,0.7742397359035722,0.7065056815066709
1,creative_ON,0.05,0.8391653114386046,0.797889193743815,0.7462112295122412
1,harmful_ON,0.05,0.8245377147462519,0.7639848056832543,0.69108754225022
1,clean,0.2,0.8317092012960845,0.8068130107376552,0.7308559687259281
1,balance,0.2,0.8345458855207503,0.7933781775043792,0.6901819080994323
1,random,0.2,0.8289770718027583,0.7844264335605867,0.7137795169014586
1,creative,0.2,0.8449234458909348,0.8003298892379473,0.7451473497838489
1,harmful_rank,0.2,0.6981068868886567,0.7676115827281923,0.6877294550167081
1,creative_ON,0.2,0.8434044682434599,0.8205546549256972,0.7656397344643919
1,harmful_ON,0.2,0.6996867298672389,0.6884945763464559,0.6065499448656902
2,BASE,0.0,0.8369571977515893,0.7983349112916712,0.7064328872559904
2,clean,0.05,0.8380009889224239,0.7980697337653615,0.7041759442393042
2,balance,0.05,0.8366240446584483,0.7999428097184416,0.6997190257572143
2,random,0.05,0.8355037970372076,0.786213972521252,0.6854369822377745
2,creative,0.05,0.8409162284020166,0.7979910500121987,0.7104049390609966
2,harmful_rank,0.05,0.8054590676579192,0.7662325824924409,0.6596051960232023
2,creative_ON,0.05,0.841070297786952,0.8138645656005767,0.715638093970246
2,harmful_ON,0.05,0.8276679317746326,0.788424699005732,0.670497306162981
2,clean,0.2,0.8354856359531896,0.8005269626991895,0.714697936626726
2,balance,0.2,0.8401866154181437,0.7899049130186874,0.6721334742016661
2,random,0.2,0.8363780133692992,0.781000456425734,0.6884972105602933
2,creative,0.2,0.8431878202176041,0.8056053414832054,0.7277456689241237
2,harmful_rank,0.2,0.6689657142720078,0.7494657471675562,0.6631591359847145
2,creative_ON,0.2,0.8471540467692459,0.8265948858387405,0.7637900023575143
2,harmful_ON,0.2,0.6530050768796379,0.6798412909720909,0.59285657318163
