seed,config,model_AUC,gap_to_bayes,taskB_threshold,taskB_rank_pos,taskB_rank_pooled,ORACLE_threshold,ORACLE_rank_pos,ORACLE_rank_pooled
0,PAPER DEFAULT (300/63/.05),0.8310343501931324,0.01896564980731852,0.9150819584232396,0.9677199074074073,0.5792865911125602,0.958557982392142,0.9987172067901234,0.5942926325836837
0,"crippled (5 trees, 2 leaves)",0.7892262416740168,0.06077375832643417,0.8641871691863107,0.6807359182098766,0.5214978514130397,0.958557982392142,0.9987172067901234,0.5942926325836837
0,"crippled (20 trees, 4 leaves)",0.8300283341950789,0.01997166580537202,0.8758416978819865,0.7799257330246914,0.5351744224965217,0.958557982392142,0.9987172067901234,0.5942926325836837
0,"overfit (2000/255/.2, no ES)",0.7842064782992183,0.06579352170123265,0.8968924356131727,0.9145794753086421,0.5692090416430491,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand00,0.8456313148210103,0.004368685179440668,0.9338666281937721,0.9662191358024691,0.5744578447864439,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand01,0.8311757170230238,0.01882428297742711,0.881904975462682,0.810757137345679,0.5388904304927422,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand02,0.8460045865141885,0.003995413486262422,0.9368386825533687,0.9865470679012345,0.5759297869809548,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand03,0.8470836217646521,0.002916378235798822,0.9093289615355766,0.9146817129629629,0.5598109301264977,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand04,0.8427073816113628,0.0072926183890881235,0.9174542168420777,0.9456365740740741,0.5634456178505847,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand05,0.8486015268104262,0.0013984731900247294,0.9063169646869657,0.9105208333333333,0.55861179562924,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand06,0.849675257763314,0.0003247422371369657,0.9157504430478218,0.951135223765432,0.5645127598085415,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand07,0.8387018583290247,0.011298141671426287,0.8891221299520164,0.8239496527777778,0.5427142747754494,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand08,0.8464828492350741,0.003517150765376842,0.9214027507706459,0.9372318672839507,0.5654050771473469,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand09,0.8474870646917486,0.0025129353087023354,0.9419378003628686,0.9928742283950617,0.5807509050167086,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand10,0.8452632014355668,0.0047367985648841815,0.9309359110172775,0.9748939043209877,0.5726562005623937,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand11,0.8407700234192037,0.009229976581247246,0.9305807676644207,0.9703395061728395,0.5742656735120619,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand12,0.8456436266309802,0.004356373369470701,0.8968510209470654,0.8851388888888889,0.5549527686504235,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand13,0.847522929529487,0.0024770704709639046,0.9416156647700893,0.9779456018518519,0.5807815915483936,0.958557982392142,0.9987172067901234,0.5942926325836837
