gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
ARF,1,balance,0.2,3360,0.1,0.0999503968253968,0.0961211118930643,0.8452258879056774,0.8386102847246779,0.8191592283321135
ARF,1,clean,0.02,336,0.1011904761904761,0.0999649859943977,0.0956003172191924,0.8460349984648743,0.840735174387526,0.8245202818189046
ARF,1,clean,0.05,840,0.0928571428571428,0.0996031746031746,0.0953506723178948,0.8460696929885879,0.840443611890096,0.8260687069787906
ARF,1,clean,0.1,1680,0.1130952380952381,0.1011363636363636,0.0953843869939473,0.8458996041569008,0.8418529805422832,0.8255734105282202
ARF,1,clean,0.2,3360,0.1029761904761904,0.1004464285714285,0.0990774614863762,0.8460884108982951,0.8404625439635298,0.8261357402252248
ARF,1,creative,0.02,336,0.1011904761904761,0.0999649859943977,0.2229584217883839,0.8459507464548193,0.8416891452914134,0.8247173766965193
ARF,1,creative,0.05,840,0.1,0.0999433106575963,0.226187522488333,0.8456646237160457,0.839857445770318,0.8235131983108136
ARF,1,creative,0.1,1680,0.1,0.0999458874458874,0.2184084155690905,0.845183055160352,0.8418398737222135,0.8267247333061946
ARF,1,creative,0.2,3360,0.1,0.0999503968253968,0.2267148717579108,0.8438731869755559,0.8419058789827599,0.8292434272295642
ARF,1,harmful_orig,0.02,336,0.875,0.1151377217553688,0.2035449548541746,0.8435103507899042,0.8378474335304326,0.8241056394277819
ARF,1,harmful_orig,0.05,840,0.8547619047619047,0.1358843537414966,0.2267237107918447,0.8369959613861088,0.8343858623842145,0.8251705257256896
ARF,1,harmful_orig,0.1,1680,0.8404761904761905,0.1672619047619047,0.2389906662304497,0.8241849870884972,0.8282769277476691,0.8252550133158438
ARF,1,harmful_orig,0.2,3360,0.8556547619047619,0.2258928571428571,0.225425532432078,0.78751420333835,0.826034462198903,0.826683421123328
ARF,1,harmful_rank,0.02,336,0.1011904761904761,0.0999649859943977,0.2216299434601324,0.8447939196690707,0.8413919288716004,0.8213170992088621
ARF,1,harmful_rank,0.05,840,0.1,0.0999433106575963,0.2371940604091662,0.8403021353322863,0.8393980645767029,0.8247226879569397
ARF,1,harmful_rank,0.1,1680,0.1,0.0999458874458874,0.2273547634865239,0.8326218814334784,0.8379225193329879,0.8245514854738741
ARF,1,harmful_rank,0.2,3360,0.1,0.0999503968253968,0.2251066303470096,0.8140682781373444,0.8368724317485903,0.8233977640621617
ARF,1,random,0.02,336,0.1011904761904761,0.0999649859943977,0.2229584217883839,0.8457888815102345,0.8418867327455997,0.8230683802506092
ARF,1,random,0.05,840,0.1,0.0999433106575963,0.226187522488333,0.8450737888270269,0.8404841316671738,0.8265292232401567
ARF,1,random,0.1,1680,0.1,0.0999458874458874,0.2184084155690905,0.8435081663198927,0.8412292072721094,0.8250262007903155
ARF,1,random,0.2,3360,0.1,0.0999503968253968,0.2267148717579108,0.8414994818951125,0.8411378878590756,0.8255447982543429
ARF,2,BASE,0.0,0,,0.1030952380952381,,0.8449656361450804,0.8369721892124531,0.8234821874031979
ARF,2,balance,0.02,336,0.1041666666666666,0.1031162464985994,0.1050061856778532,0.8448665640051426,0.83590098508461,0.8235021902952648
ARF,2,balance,0.05,840,0.1035714285714285,0.1031179138321995,0.0899190526572119,0.8445830112310885,0.835752098461859,0.820429133565521
ARF,2,balance,0.1,1680,0.1029761904761904,0.1030844155844155,0.0970709339880557,0.8448568838046991,0.8366311548941723,0.8177081191696067
ARF,2,balance,0.2,3360,0.1029761904761904,0.1030753968253968,0.0961790536596797,0.8445294274666865,0.8335452269244581,0.8193942087729686
ARF,2,clean,0.02,336,0.0892857142857142,0.1028244631185807,0.0990417953260946,0.8449834117343904,0.8379511316068654,0.8249278353906758
ARF,2,clean,0.05,840,0.0952380952380952,0.1027210884353741,0.0971887527270242,0.8450876666365124,0.8377012453706368,0.8220714909359058
ARF,2,clean,0.1,1680,0.0964285714285714,0.1024891774891774,0.0990408442301803,0.8450426922539207,0.8384336853157014,0.8230908460255324
ARF,2,clean,0.2,3360,0.0985119047619047,0.1023313492063492,0.0980669840342125,0.845065907601887,0.8374212905471901,0.8241311249112504
